title,author,price,isbn,cover_image_url,description,publication_year
Cambridge English Flyers 1 for Revised Exam from 2018 Student's Book,Cambridge University,123000,9781108446556,https://cdn1.fahasa.com/media/catalog/product/i/m/img_7743.jpg,,2018
Empower Starter A1 Student's Book With Digital Pack - 2nd Edition,"Adrian Doff, Craig Thaine, Herbert Puchta, Jeff Stranks, Peter Lewis-Jones",405000,9781009358736,https://cdn1.fahasa.com/media/catalog/product/9/7/9781009358736.jpg,,2022
English Vocabulary in Use: Pre-Intermediate and Intermediate Book with Answers Fahasa Reprint Edition: Vocabulary Reference and Practice (Kèm CD),Stuart Redman,183000,9781108430470,https://cdn1.fahasa.com/media/catalog/product/i/m/img_7596.jpg,"Vocabulary explanations and practice for pre-intermediate level (B1) learners of English. Perfect for both self-study and classroom activities. Quickly expand your vocabulary with over 100 units of easy to understand explanations and practice exercises. Be confident about what you are learning, thanks to Cambridge research into how English is really spoken and written, and get better at studying by yourself, with units on learning vocabulary, personalised practice and an easy to use answer key.",2017
American English File: Level 1: Students Book With Online Practice - 3rd Edition,"Christina de la Mare, Clive Oxenden, Jerry Lambert",253000,9780194906166,https://cdn1.fahasa.com/media/catalog/product/i/m/image_195509_1_31752.jpg,,2021
A2 Flyers 4 Authentic Practice Tests: Student's Book Without Answers With Audio - FAHASA Reprint Edition,Cambridge English,150000,9781009282055,https://cdn1.fahasa.com/media/catalog/product/9/7/9781009282055.jpg,,2022
Cambridge English Flyers 2 for Revised Exam From 2018 Student's Book,Cambridge University Press,123000,9781108464833,https://cdn1.fahasa.com/media/catalog/product/n/e/new_doc_2018-05-17_17.08.11_1.jpg,Cambridge University Cambridge English Flyers 2 for Revised Exam From 2018 Student's Book,2018
Oxford Advanced Learner's Dictionary: Paperback - 10th Edition (With 1 Year's Access To Both Premium Online And App),"Diana Lea, Jennifer Bradbery",627000,9780194798488,https://cdn1.fahasa.com/media/catalog/product/9/7/9780194798488-dd.jpg,,2020
Empower B1 Pre-Intermediate - Workbook With Answers (2nd Edition),Peter Anderson,405650,9781108961462,https://cdn1.fahasa.com/media/catalog/product/9/7/9781108961462.jpg,,2022
English World 4 Pupil's Book With eBook,Macmillan Education,268000,9781035117215,https://cdn1.fahasa.com/media/catalog/product/9/7/9781035117215.jpg,"English World is a stunningly visual ten-level course which will take children through from primary to secondary. Written by the authors of best-sellers Way Ahead and Macmillan English, English World combines best practice methodology with innovative new features for the modern classroom.",2018
Voices Pre-Intermediate A2/B1: Student's Book BRE,"Emily Bryson, Christien Lee",336000,9780357458655,https://cdn1.fahasa.com/media/catalog/product/9/7/9780357458655.jpg,,2021
Combo Complete IELTS B2: Student's Book + Workbook (with answer & Audio CD),Mark Harrison,369000,,https://cdn1.fahasa.com/media/catalog/product/c/o/combo-9781107695962-9781107675452.jpg,1. Complete IELTS B2 Student's Book with answer & CD-Rom,2012
