"display_order","is_active","created_at","id","updated_at","name_en","name_vi","slug"
1,1,"2026-04-03 16:59:33",1,"2026-04-03 16:59:33",Children's Books,Sách Thiếu Nhi,childrens-books
2,1,"2026-04-03 16:59:33",2,"2026-04-03 16:59:33",Other Languages,Các Ngôn Ngữ Khác,other-languages
3,1,"2026-04-03 16:59:33",3,"2026-04-03 16:59:33",Dictionaries & Languages,Từ Điển và Ngôn Ngữ,dictionaries-and-languages
4,1,"2026-04-03 16:59:33",4,"2026-04-03 16:59:33",Fiction,Tiểu Thuyết,fiction
5,1,"2026-04-03 16:59:33",5,"2026-04-03 16:59:33",Business Finance & Management,Kinh Doanh Tài Chính và Quản Lý,business-finance-and-management
6,1,"2026-04-03 16:59:33",6,"2026-04-03 16:59:33",Personal Development,Phát Triển Bản Thân,personal-development
7,1,"2026-04-03 16:59:33",7,"2026-04-03 16:59:33",Biography,Tiểu Sử,biography
8,1,"2026-04-03 16:59:33",8,"2026-04-03 16:59:33",Society & Social Sciences,Xã Hội và Khoa Học Xã Hội,society-and-social-sciences
9,1,"2026-04-03 16:59:33",9,"2026-04-03 16:59:33",Education & Reference,Giáo Dục và Tài Liệu Tham Khảo,education-and-reference
10,1,"2026-04-03 16:59:33",10,"2026-04-03 16:59:33",Graphic Novels Anime & Manga,Truyện Tranh Anime và Manga,graphic-novels-anime-and-manga
11,1,"2026-04-03 16:59:33",11,"2026-04-03 16:59:33",Crafts and Hobbies,Thủ Công và Sở Thích,crafts-and-hobbies
12,1,"2026-04-03 16:59:33",12,"2026-04-03 16:59:33",Mind Body & Spirit,Tâm Trí Cơ Thể và Tâm Linh,mind-body-and-spirit
13,1,"2026-04-03 16:59:33",13,"2026-04-03 16:59:33",Health,Sức Khỏe,health
14,1,"2026-04-03 16:59:33",14,"2026-04-03 16:59:33",Science & Geography,Khoa Học và Địa Lý,science-and-geography
15,1,"2026-04-03 16:59:33",15,"2026-04-03 16:59:33",Computing,Tin Học,computing
16,1,"2026-04-03 16:59:33",16,"2026-04-03 16:59:33",Art & Photography,Nghệ Thuật và Nhiếp Ảnh,art-and-photography
17,1,"2026-04-03 16:59:33",17,"2026-04-03 16:59:33",Romance,Lãng Mạn,romance
18,1,"2026-04-03 16:59:33",18,"2026-04-03 16:59:33",Technology & Engineering,Công Nghệ và Kỹ Thuật,technology-and-engineering
19,1,"2026-04-03 16:59:33",19,"2026-04-03 16:59:33",Religion,Tôn Giáo,religion
20,1,"2026-04-03 16:59:33",20,"2026-04-03 16:59:33",Poetry & Drama,Thơ và Kịch,poetry-and-drama
21,1,"2026-04-03 16:59:33",21,"2026-04-03 16:59:33",Food & Drink,Ẩm Thực và Đồ Uống,food-and-drink
22,1,"2026-04-03 16:59:33",22,"2026-04-03 16:59:33",History & Archaeology,Lịch Sử và Khảo Cổ,history-and-archaeology
23,1,"2026-04-03 16:59:33",23,"2026-04-03 16:59:33",Science Fiction Fantasy & Horror,Khoa Học Viễn Tưởng Kỳ Ảo và Kinh Dị,science-fiction-fantasy-and-horror
24,1,"2026-04-03 16:59:33",24,"2026-04-03 16:59:33",Home & Garden,Nhà Cửa và Vườn Tược,home-and-garden
25,1,"2026-04-03 16:59:33",25,"2026-04-03 16:59:33",Natural History,Lịch Sử Tự Nhiên,natural-history
26,1,"2026-04-03 16:59:33",26,"2026-04-03 16:59:33",Reference,Tham Khảo,reference
27,1,"2026-04-03 16:59:33",27,"2026-04-03 16:59:33",Medical,Y Học,medical
28,1,"2026-04-03 16:59:33",28,"2026-04-03 16:59:33",Stationery,Văn Phòng Phẩm,stationery
29,1,"2026-04-03 16:59:33",29,"2026-04-03 16:59:33",Entertainment,Giải Trí,entertainment
30,1,"2026-04-03 16:59:33",30,"2026-04-03 16:59:33",Crime & Thriller,Tội Phạm và Giật Gân,crime-and-thriller
31,1,"2026-04-03 16:59:33",31,"2026-04-03 16:59:33",Sport,Thể Thao,sport
32,1,"2026-04-03 16:59:33",32,"2026-04-03 16:59:33",Travel & Holiday Guides,Du Lịch và Hướng Dẫn Nghỉ Dưỡng,travel-and-holiday-guides
33,1,"2026-04-03 16:59:33",33,"2026-04-03 16:59:33",Humour,Hài Hước,humour
